Col1,Col2,Col3,Col4,Col5,Col6
#ff61be,#ff61be,#ffdef3,#0086ff,#0086ff,#ffff00
#ff61be,#ff61be,#ffdef3,#f2fa5b,#f2fa5b,#f200ff
#4e78ff,#4e78ff,#57bbf1,#f2fa5b,#f2fa5b,#f200ff
#734dff,#9d4dff,#c56cff,#f2fa5b,#f2fa5b,#f200ff
#0092ff,#0092ff,#ffffff,#ff00dd,#ff00dd,#f200ff
#fc3fcc,#fc3fcc,#ff95c5,#2292ff,#2292ff,#ffff00
#f912bd,#f912bd,#ffabe9,#2292ff,#2292ff,#ffff00
#ff2543,#ff2543,#ffedda,#3eb2ff,#3eb2ff,#f200ff
#3eb2ff,#3eb2ff,#ffedda,#ff2543,#ff2543,#f200ff
#fb00ff,#fe2281,#ffdbf0,#2292ff,#2292ff,#f200ff
#00aaff,#00aaff,#ffdbf0,#ff0000,#ff0000,#f200ff
                                        
